| Title                                     | English Title                             | Year | Status            | Personal Rating | Online Rating | Sub Type   | Type | Data Source | Date Completed | Date Started | Developers                                                    | Favorite | Franchise                      | Genres                                     | Id         | Image                                                                                                                                       | Platform                                                                             | Play Time | Played | Playtime | Prequel | Publishers                                                                     | Publishing Status | Release Date | Released | Replay Count | Sequel | Tags                                                                     | Url                                           | Body Text                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Far Cry 3                                 | Far Cry 3                                 | 2012 |      Dropped      |        -        |      ★ 88     | PC/Console | game | SteamAPI    |       -        |      -       | Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai |  false   | -                              | Action, Adventure                          |   220240   | https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/220240/header.jpg?t=1752169206                                           | -                                                                                    |     4     | false  |    -     | -       | Ubisoft                                                                        | -                 |  11/28/2012  |   true   |      0       | -      | genre/Action, genre/Adventure                                            | https://store.steampowered.com/app/220240     | -                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| Free Fire                                 | Free Fire                                 | 2017 | Currently Playing |        -        |      ★ 5      |   Mobile   | game | OMDbAPI     |       -        |      -       | -                                                             |  false   | -                              | Action, Thriller, War                      | tt9197514  | https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQhuNTkGb4Y3ASToFdS8wgDbg--n2Jn3zvSog&s                                                | -                                                                                    |     85    | false  |    -     | -       | -                                                                              | -                 |  12/04/2017  |   true   |      0       | -      | genre/Action, genre/Thriller, genre/War                                  | https://www.imdb.com/title/tt9197514/         | -                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| Genshin Impact                            | Genshin Impact                            | 2020 |      Dropped      |        -        |      ★ 83     | PC/Console | game | RAWG        |       -        |      -       | miHoYo                                                        |  false   | -                              | Action, Adventure, RPG                     |   401805   | https://media.rawg.io/media/games/c38/c38bdb5da139005777176d33c463d70f.jpg                                                                  | Android, Nintendo Switch, PC, PlayStation 4, PlayStation 5, iOS                      |     -     | false  |    0     | -       | miHoYo                                                                         | -                 |  09/28/2020  |   true   |      0       | -      | genre/Action, genre/Adventure, genre/RPG                                 | https://rawg.io/games/genshin-impact          | You have arrived in Teyvat — a fantasy world where the seven elements flow and converge. In the distant past, the Archons granted mortals unique elemental abilities. With the help of such powers, people formed a bountiful homeland out of the wilderness. However, 500 years ago, the collapse of an ancient civilization turned the universe upside down... Though the calamity the world suffered has ceased, peace has yet to be restored. You, as the main character, are a traveler drifted from another world who has awoken in this land. You will explore this wondrous world freely, make friends along the way, and look for "The Seven" — Archons of the seven elements. Every piece of your adventure will unearth something miraculous, and the lost will eventually be found. source: https://genshin.mihoyo.com/en                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| Ghost of Tsushima                         | Ghost of Tsushima                         | 2020 |    Plan to Play   |        -        |      ★ 83     | PC/Console | game | RAWG        |       -        |      -       | Sucker Punch Productions                                      |  false   | -                              | Action, Adventure, RPG                     |   58550    | https://media.rawg.io/media/games/f24/f2493ea338fe7bd3c7d73750a85a0959.jpeg                                                                 | PC, PlayStation 4, PlayStation 5                                                     |     0     | false  |    -     | -       | Sony Interactive Entertainment                                                 | -                 |  07/17/2020  |   true   |      0       | -      | genre/Action, genre/Adventure, genre/RPG                                 | https://rawg.io/games/ghost-of-tsushima       | The year is 1274. Samurai warriors are the legendary defenders of Japan--until the fearsome Mongol Empire invades the island of Tsushima, wreaking havoc and conquering the local population. As one of the last surviving samurai, you rise from the ashes to fight back. But, honorable tactics won't lead you to victory. You must move beyond your samurai traditions to forge a new way of fighting--the way of the Ghost--as you wage an unconventional war for the freedom of Japan.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| Ghost of Yotei                            | Ghost of Yotei                            | 2025 |    Plan to Play   |        -        |      ★ 82     | PC/Console | game | RAWG        |       -        |      -       | Sucker Punch Productions                                      |  false   | -                              | Action, RPG                                |   989329   | https://media.rawg.io/media/games/30b/30b195c2321d763f807366967ffad793.jpg                                                                  | PlayStation 5                                                                        |     0     | false  |    -     | -       | Sony Computer Entertainment                                                    | -                 |  10/02/2025  |   true   |      0       | -      | genre/Action, genre/RPG                                                  | https://rawg.io/games/ghost-of-yotei          | Taking place 300 years after the critically acclaimed Ghost of Tsushima, this standalone experience follows a haunted, lone mercenary named Atsu in the 1600s. Thirsty for revenge, she sets out to hunt down those who killed her family many years prior. Her quest across Ezo will take her to unexplored lands as she seeks out a gang of six outlaws. Along the way, she’ll encounter far more than she could have wagered for at the journey’s outset. Help her find unlikely allies, forge lasting bonds and build a path towards healing and redemption.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| Grand Theft Auto IV                       | Grand Theft Auto IV                       | 2008 |      On Hold      |        -        |      ★ 95     | PC/Console | game | RAWG        |       -        |      -       | Rockstar North                                                |  false   | -                              | Action, Adventure                          |    4459    | https://media.rawg.io/media/games/4a0/4a0a1316102366260e6f38fd2a9cfdce.jpg                                                                  | PC, PlayStation 3, Xbox 360, Xbox One                                                |     -     | false  |    10    | -       | Capcom, Rockstar Games, Take Two Interactive                                   | -                 |  04/29/2008  |   true   |      0       | -      | genre/Action, genre/Adventure                                            | https://rawg.io/games/grand-theft-auto-iv     | Every crime story is a story of a search for success. The player will become Niko Bellic, immigrant arriving at the Liberty City to reunite with his cousin Roman and find the man that betrayed him and his army unit fifteen years prior to the events of the game. While protecting his cousin, Niko has to deal with loan sharks, Russian mobsters, and other gangs. After the third game, GTA brought more realism to the player, in order to make the city and its people look more believable. Street vendors on every corner will sell food that replenishes health, bars with playable dart boards, bowling alleys and even comedy clubs and movie theatres. Open world will allow players not only hang out with important NPC in order to receive bonuses and unlocks but taking girls on the dates as well, to help Niko settle. Multiplayer mode allows up to 32 players to explore the copy of the single-player city and initiate multiplayer activities, like races or Deathmatches.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| Grand Theft Auto V                        | Grand Theft Auto V                        | 2013 |    Plan to Play   |        -        |      ★ 92     | PC/Console | game | RAWG        |       -        |      -       | Rockstar North, Rockstar Games                                |  false   | -                              | Action                                     |    3498    | https://media.rawg.io/media/games/20a/20aa03a10cda45239fe22d035c0ebe64.jpg                                                                  | PC, PlayStation 3, PlayStation 4, PlayStation 5, Xbox 360, Xbox One, Xbox Series S/X |     -     | false  |    0     | -       | Rockstar Games                                                                 | -                 |  09/17/2013  |   true   |      0       | -      | genre/Action                                                             | https://rawg.io/games/grand-theft-auto-v      | Rockstar Games went bigger, since their previous installment of the series. You get the complicated and realistic world-building from Liberty City of GTA4 in the setting of lively and diverse Los Santos, from an old fan favorite GTA San Andreas. 561 different vehicles (including every transport you can operate) and the amount is rising with every update. Simultaneous storytelling from three unique perspectives: Follow Michael, ex-criminal living his life of leisure away from the past, Franklin, a kid that seeks the better future, and Trevor, the exact past Michael is trying to run away from. GTA Online will provide a lot of additional challenge even for the experienced players, coming fresh from the story mode. Now you will have other players around that can help you just as likely as ruin your mission. Every GTA mechanic up to date can be experienced by players through the unique customizable character, and community content paired with the leveling system tends to keep everyone busy and engaged. Español Rockstar Games se hizo más grande desde su entrega anterior de la serie. Obtienes la construcción del mundo complicada y realista de Liberty City de GTA4 en el escenario de Los Santos, un viejo favorito de los fans, GTA San Andreas. 561 vehículos diferentes (incluidos todos los transportes que puede operar) y la cantidad aumenta con cada actualización. Narración simultánea desde tres perspectivas únicas: Sigue a Michael, ex-criminal que vive su vida de ocio lejos del pasado, Franklin, un niño que busca un futuro mejor, y Trevor, el pasado exacto del que Michael está tratando de huir. GTA Online proporcionará muchos desafíos adicionales incluso para los jugadores experimentados, recién llegados del modo historia. Ahora tendrás otros jugadores cerca que pueden ayudarte con la misma probabilidad que arruinar tu misión. Los jugadores pueden experimentar todas las mecánicas de GTA actualizadas a través del personaje personalizable único, y el contenido de la comunidad combinado con el sistema de nivelación tiende a mantener a todos ocupados y comprometidos.                                                                                                                                                                                                                                                                                                                              |
| Hay Day                                   | Hay Day                                   | 2012 |      Dropped      |        -        |      ★ 72     |   Mobile   | game | RAWG        |       -        |      -       | Supercell                                                     |  false   | -                              | Simulation, Casual, Family                 |    1177    | https://media.rawg.io/media/screenshots/423/423e4613b95924ee000b6883188e3e2e.jpg                                                            | -                                                                                    |     0     | false  |    -     | -       | Supercell Oy                                                                   | -                 |  06/21/2012  |   true   |      0       | -      | genre/Simulation, genre/Casual, genre/Family                             | https://rawg.io/games/hay-day                 | Best. Farm. Ever. Welcome to Hay Day, the most popular farming game on mobiles and tablets, number one in 122 countries. Learn the lay of the land, tend to your crops, and trade goods with neighbors and friends. It’s a real special place where the crops never die even though it never rains. Sharing the farm with our quirky animals only makes things more fun! PLEASE NOTE! Hay Day is free to download and install. However, some game items can also be purchased for real money. If you don't want to use this feature, please disable in­-app purchases in your device's settings. A network connection is also required. ~~~~~~~~~~ FEATURES ~~~~~~~~~~ * Grow and customize your farm * Trade crops and fresh goods with neighbors and friends through your very own roadside shop * Fulfill orders with your truck and even by steamboat * Repair your dock and cast your lure to fish the waters * Build your own town and welcome visitors ~~~~~~~~~~~ MEDIA MENTIONS ~~~~~~~~~~~ Hay Day‘s presentation is fairly cinematic for a mobile game. It’s eye candy. The controls are also smooth, non intrusive, and use the iPhone’s touch screen well. http://www.gamezebo.com/2012/07/03/hay-day-review/ Watching your crops grow and your twee factories spew out products is a quietly pleasing experience. http://www.pocketgamer.co.uk/r/Multiformat/Hay+Day/review.asp?c=42764 ~~~~~~~~~~~ PLAYER REVIEWS ~~~~~~~~~~~ 5/5 The artwork is phenomenal, clear, missing no details and certainly comical. 5/5 The animals are super cute and nothing ever dies. No pressure if you can’t play for a few days. 5/5 I love this game I play it everyday to build my farm up. I love how it branches out from just a farm to fishing and mining. Overall very fun game :) 5/5 Great game. Love the options!! Got this game for my iPad and it out does any other farm game I have played. Wonderful design and thought process. 5/5 A “happy feel good” game! 6 stars from this girl! ~~~~~~~~~~ SUPPORT ~~~~~~~~~~ Neighbor, are you having problems? Visit https://supercell.helpshift.com/a/hay-day/?l=en or contact us in game by going to Settings > Help and Support. Under our Terms of Services and Privacy Policy, Hay Day is allowed for download and play only for persons 13 years or over of age. Privacy Policy: http://www.supercell.net/privacy-policy/ Terms of Service: http://www.supercell.net/terms-of-service/ Parent's Guide: http://www.supercell.net/parents/ |
| Hollow Knight                             | Hollow Knight                             | 2017 | Currently Playing |        -        |      ★ 87     | PC/Console | game | SteamAPI    |       -        |      -       | Team Cherry                                                   |  false   | -                              | Action, Adventure, Indie                   |   367520   | https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/367520/3c3489495136b26b34f8a9543c7f5645b99d388c/header.jpg?t=1776125684  | -                                                                                    |     -     | false  |    20    | -       | Team Cherry                                                                    | -                 |  02/24/2017  |   true   |      0       | -      | genre/Action, genre/Adventure, genre/Indie                               | https://store.steampowered.com/app/367520     | -                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| Hollow Knight: Silksong                   | Hollow Knight: Silksong                   | 2025 |     Completed     |     ★ 10/10     |      ★ 90     | PC/Console | game | SteamAPI    |       -        |      -       | Team Cherry                                                   |  false   | -                              | Action, Adventure, Indie                   |  1030300   | https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1030300/7983574d464e6559ac7e24275727f73a8bcca1f3/header.jpg?t=1776125736 | -                                                                                    |    120    | false  |    -     | -       | Team Cherry                                                                    | -                 |  09/04/2025  |   true   |      0       | -      | genre/Action, genre/Adventure, genre/Indie                               | https://store.steampowered.com/app/1030300    | -                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
